Nº da Medida,Ementa,Situação
"170, de 4.3.2004
Publicada no DOU de 5.3.2004
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre a criação do Plano Especial de Cargos da Agência Nacional de Vigilância Sanitária - ANVISA e da Gratificação Temporária de Vigilância Sanitária, e dá outras providências.","Convertida
Lei nº 10.882, de 2004"
"169, de 20.2.2004
Publicada no DOU de 20.2.2004
Exposição de Motivos
Prorrogação de prazo","Acrescenta o inciso XVI ao art. 20 da Lei no 8.036, de 11 de maio de 1990, que dispõe sobre o Fundo de Garantia do Tempo de Serviço - FGTS, e dá outras providências.","Convertida
Lei nº 10.878, de 2004"
"168, de 20.2.2004
Publicada no DOU de 20.2.2004
Exposição de Motivos
Prorrogação de prazo","Proíbe a exploração de todas as modalidades de jogos de bingo e jogos em máquinas eletrônicas denominadas ""caça-níqueis"", independentemente dos nomes de fantasia, e dá outras providências.","Rejeitada
Ato do Presidente do Senado Federal"
"167, de 19.2.2004
Publicada no DOU de 20.2.2004
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre a aplicação de disposições da Emenda Constitucional nº 41, de 19 de dezembro de 2003, altera dispositivos das Leis nos 9.717, de 27 de novembro de 1998, 9.783, de 28 de janeiro de 1999, 8.213, de 24 de julho de 1991, 9.532, de 10 de dezembro de 1997, e dá outras providências.","Convertida
Lei nº 10.887, de 2004"
"166, de 18.2.2004
Publicada no DOU de 19.2.2004
Exposição de Motivos
Prorrogação de prazo","Cria a Carreira de Perícia Médica da Previdência Social, dispõe sobre a remuneração da Carreira de Supervisor Médico-Pericial do Quadro de Pessoal do Instituto Nacional do Seguro Social - INSS, e dá outras providências.","Convertida
Lei nº 10.876, de 2004"
"165, de 11.2.2004
Publicada no DOU de 12.2.2004
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre o contrato de gestão entre a Agência Nacional de Águas e as entidades delegatárias das funções de Agência de Água, nos termos do art. 51 da Lei nº 9.433, de 8 de janeiro de 1997, e dá outras providências.","Convertida
Lei nº 10.881, de 2004"
"164, de 29.1.2004
Publicada no DOU de 29.1.2004 - Ed. extra
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre a Contribuição para os Programas de Integração Social e de Formação do Patrimônio do Servidor Público e a Contribuição para o Financiamento da Seguridade Social incidentes sobre a importação de bens e serviços, e dá outras providências.","Convertida
Lei nº 10.865, de 2004"
"163, de 23.1.2004
Publicada no DOU de 23.1.2004 - Ed. extra
Exposição de Motivos
Prorrogação de prazo","Altera a Lei no 10.683, de 28 de maio de 2003, que dispõe sobre a organização da Presidência da República e dos Ministérios, e dá outras providências.","Convertida
Lei nº 10.869, de 2004"
"162, de 22.1.2004
Publicada no DOU de 23.1.2004
Exposição de Motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor de Transferências a Estados, Distrito Federal e Municípios, no valor de R$ 3.400.000.000,00, para os fins que especifica.","Convertida
Lei nº 10.857, de 2004"
"161, de 21.1.2004
Publicada no DOU de 22.1.2004
Exposição de Motivos
Prorrogação de prazo","Acresce o art. 1o-A à Lei nº 10.336, de 19 de dezembro de 2001, que institui Contribuição de Intervenção no Domínio Econômico incidente sobre a importação e a comercialização de petróleo e seus derivados, gás natural e seus derivados, e álcool etílico combustível (Cide), e dá outras providências.","Convertida
Lei nº 10.866, de 2004"
"160, de 29.12.2003
Publicada no DOU de 3012.2003 (Ed. extra-A)
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre a instituição de Gratificação Temporária para os servidores Técnico-Administrativos e Técnico-Marítimos das Instituições Federais de Ensino, e dá outras providências.","Convertida
Lei nº 10.868, de 2004"
"159, de 23.12.2003
Publicada no DOU de 24.12.2003
Exposição de Motivos
Prorrogação de prazo",Autoriza o Poder Executivo a conceder subvenção econômica à Companhia de Navegação do São Francisco - FRANAVE.,"Convertida
Lei nº 10.854, de 2004"
"158, de 23.12.2003
Publicada no DOU de 24.12.2003
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre a criação do Plano Especial de Cargos da Agência Brasileira de Inteligência - ABIN, e dá outras providências.","Convertida
Lei nº 10.862, de 2004"
"157, de 23.12.2003
Publicada no DOU de 24.12.2003
Exposição de Motivos
Prorrogação de prazo","Altera o inciso IV do art. 6o da Lei no 10.826, de 22 de dezembro de 2003, que dispõe sobre registro, posse e comercialização de armas de fogo e munição, sobre o Sistema Nacional de Armas - Sinarm e define crimes.","Convertida
Lei nº 10.867, de 2004"
"156, de 23.12.2003
Publicada no DOU de 24.12.2003
Exposição de Motivos
Prorrogação de prazo","Altera o caput do art. 1o da Lei no 10.429, de 24 de abril de 2002, que institui o Auxílio-Aluno no âmbito do Projeto de Profissionalização dos Trabalhadores de Enfermagem - PROFAE.","Convertida
Lei nº 10.853, de 2004"
"155, de 23.12.2003
Publicada no DOU de 24.12.2003 (Ed. extra)
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre a criação de carreiras e organização de cargos efetivos das autarquias especiais denominadas Agências Reguladoras, e dá outras providências.","Convertida
Lei nº 10.871, de 2004"
"154, de 23.12.2003
Publicada no DOU de 24.12.2003
Exposição de Motivos
Prorrogação de prazo","Autoriza a Fundação Oswaldo Cruz - FIOCRUZ a disponibilizar medicamentos, mediante ressarcimento, e dá outras providências.","Convertida
Lei nº 10.858, de 2004"
"153, de 23.12.2003
Publicada no DOU de 24.12.2003
Exposição de Motivos
Prorrogação de prazo",Institui a Taxa de Avaliação in loco das instituições de educação superior e das condições de ensino dos cursos de graduação e dá outras providências.,"Convertida
Lei nº 10.870, de 2004"
"152, de 23.12.2003
Publicada no DOU de 24.12.2003
Exposição de Motivos
Prorrogação de prazo","Altera o art. 47 da Lei no 9.636, de 15 de maio de 1998.","Convertida
Lei nº 10.852, de 2004"
"151, de 18.12.2003
Publicada no DOU de 19.12.2003
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre a criação do Instituto Nacional do Semi-Árido - INSA, unidade de pesquisa integrante da estrutura básica do Ministério da Ciência e Tecnologia, e dá outras providências.","Convertida
Lei nº 10.860, de 2004"
"150, de 16.12.2003
Publicada no DOU de 17.12.2003
Exposição de Motivos
Prorrogação de prazo","Altera a Lei no 10.188, de 12 de fevereiro de 2001, que institui o Programa de Arrendamento Residencial e dá outras providências.","Convertida
Lei nº 10.859, de 2004"
"149, de 16.12.2003
Publicada no DOU de 17.12.2003
Exposição de Motivos
Prorrogação de prazo",Autoriza o Poder Executivo a doar à República da Bolívia vacinas contra a febre aftosa.,"Convertida
Lei nº 10.851, de 2004"
"148, de 15.12.2003
Publicada no DOU de 16.12.2003
Exposição de Motivos
Prorrogação de prazo","Atribui competências à Agência Nacional de Saúde Suplementar - ANS e fixa as diretrizes a serem observadas na definição de normas para implantação de programas especiais de incentivo à adaptação de contratos anteriores à Lei nº 9.656, de 3 de junho de 1998.","Convertida
Lei nº 10.850, de 2004"
"147, de 15.12.2003
Publicada no DOU de 16.12.2003
Exposição de Motivos
Prorrogação de prazo",Institui o Sistema Nacional de Avaliação e Progresso do Ensino Superior e dispõe sobre a avaliação do ensino superior.,"Convertida
Lei nº 10.861, de 2004"
"146, de 11.12.2003
Publicada no DOU de 12.12.2003
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre a reestruturação da Carreira Previdenciária, de que trata a Lei no 10.355, de 26 de dezembro de 2001, instituindo a Carreira do Seguro Social, e dá outras providências.","Convertida
Lei nº 10.855, de 2004"
"145, de 11.12.2003
Publicada no DOU de 11.12.2003 (Ed. extra)
Exposição de Motivos
Prorrogação de prazo",Autoriza a criação da Empresa de Pesquisa Energética - EPE e dá outras providências.,"Convertida
Lei nº 10.847, de 2004"
"144, de 11.12.2003
Publicada no DOU de 11.12.2003 (Ed. extra)
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre a comercialização de energia elétrica, altera as Leis nos 5.655, de 20 de maio de 1971, 8.631, de 4 de março de 1993, 9.074, de 7 de julho de 1995, 9.427, de 26 de dezembro de 1996, 9.478, de 6 de agosto de 1997, 9.648, de 27 de maio de 1998, 9.991, de 24 de julho de 2000, 10.438, de 26 de abril de 2002, e dá outras providências.","Convertida
Lei nº 10.848, de 2004"
"143, de 11.12.2003
Publicada no DOU de 11.12.2003 (Ed. extra)
Exposição de Motivos
Prorrogação de prazo","Extingue o Conselho Diretor do Fundo de Garantia à Exportação - CFGE, altera dispositivos da Lei no 9.818, de 23 de agosto de 1999, e dá outras providências.","Convertida
Lei nº 10.856, de 2004"
"142, de 2.12.2003
Publicada no DOU de 3.12.2003
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre os créditos do Banco Central do Brasil contra instituição financeira credenciada a operar no Convênio de Pagamentos e Créditos Recíprocos - CCR, e dá outras providências.","Convertida
Lei nº 10.844, de 2004"
"141, de 1º.12.2003
Publicada no DOU de 2.12.2003
Exposição de Motivos
Prorrogação de prazo","Dá nova redação ao art. 2o da Lei no 10.260, de 12 de julho de 2001, que dispõe sobre o Fundo de Financiamento ao Estudante do Ensino Superior.","Convertida
Lei nº 10.846, de 2004"
"140, de 25.11.2003
Publicada no DOU de 26.11.2003
Exposição de Motivos
Prorrogação de prazo","Cria o Programa Nacional de Financiamento da Ampliação e Modernização da Frota Pesqueira Nacional - Profrota Pesqueira, e dá outras providências.","Convertida
Lei nº 10.849, de 2004"
"139, de 21.11.2003
Publicada no DOU de 25.11.2003
Exposição de Motivos
Prorrogação de prazo","Institui o Programa de Complementação ao Atendimento Educacional Especializado aos Portadores de Deficiência, e dá outras providências.","Convertida
Lei nº 10.845, de 2004"
"138, de 19.11.2003
Publicada no DOU de 20.11.2003
Exposição de Motivos","Altera e acresce dispositivo à Lei no 8.213, de 24 de julho de 1991, que dispõe sobre os Planos de Benefícios da Previdência Social.","Convertida
Lei nº 10.839, de 2004"
"137, de 17.11.2003
Publicada no DOU de 18.11.2003
Exposição de Motivos
Prorrogação de prazo",Autoriza a União a permutar Certificados Financeiros do Tesouro e dá outras providências.,"Convertida
Lei nº 10.841, de 2004"
"136, de 17.11.2003
Publicada no DOU de 18.11.2003
Exposição de Motivos
Prorrogação de prazo","Acrescenta artigo à Lei nº 8.884, de 11 de junho de 1994, que transforma o Conselho Administrativo de Defesa Econômica – CADE em Autarquia e dispõe sobre a prevenção e a repressão às infrações contra a ordem econômica.","Convertida
Lei nº 10.843, de 2004"
"135, de 30.10.2003
Publicada no DOU de 31.10.2003 - Ed. extra
Exposição de Motivos",Altera a Legislação Tributária Federal e dá outras providências.,"Convertida
Lei nº 10.833, de 2003"
"134, de 24.10.2003
Publicada no DOU de 27.10.2003
Exposição de Motivos","Abre crédito extraordinário, em favor do Ministério das Cidades, no valor de R$ 80.000.000,00, para os fins que especifica.","Convertida
Lei nº 10.827, de 2003"
"133, de 23.10.2003
Publicada no DOU de 24.10.2003
Exposição de Motivos
Prorrogação de prazo",Cria o Programa Especial de Habitação Popular - PEHP e dá outras providências.,"Convertida
Lei nº 10.840, de 2004"
"132, de 20.10.2003
Publicada no DOU de 21.10.2003
Exposição de Motivos
Prorrogação de prazo",Cria o Programa Bolsa Família e dá outras providências.,"Convertida
Lei nº 10.836, de 2004"
"131, de 25.9.2003
Publicada no DOU de 26.9.2003 (Ed. extra)
Exposição de Motivos
Prorrogação de prazo","Estabelece normas para o plantio e comercialização da produção de soja da safra de 2004, e dá outras providências.","Convertida
Lei 10.814, de 2003"
"130, de 17.9.2003
Publicada no DOU de 18.9.2003
Exposição de Motivos","Dispõe sobre a autorização para desconto de prestações em folha de pagamento, e dá outras providências.","Convertida
Lei nº 10.820, de 2003"
"129, de 17.9.2003
Publicada no DOU de 18.9.2003
Exposição de Motivos","Abre, em favor de Encargos Financeiros da União, crédito extraordinário no valor de R$ 2.300.000.000,00, para os fins que especifica.","Convertida
Lei nº 10.794, de 2003"
"128, de 1º.9.2003
Publicada no DOU de 2.9.2003
Exposição de Motivos
Prorrogação","Revoga a Medida Provisória nº 124, de 11 de julho de 2003, que dispõe sobre o Quadro de Pessoal da Agência Nacional de Águas, e dá outras providências.","Convertida
Lei nº 10.752, de 2003"
"127, de 4.8.2003
Publicada no DOU de 5.8.2003
Exposição de Motivos
Prorrogação",Dispõe sobre a criação do Programa Emergencial e Excepcional de Apoio às Concessionárias de Serviços Públicos de Distribuição de Energia Elétrica e dá outras providências.,"Convertida
Lei nº 10.762, de 2003"
"126, de 31.7.2003
Publicada no DOU de 1º.8.2003
Exposição de Motivos
Prorrogação","Dispõe sobre a assunção, pela União, de responsabilidades civis perante terceiros no caso de atentados terroristas, atos de guerra ou eventos correlatos, contra aeronaves de matrícula brasileira operadas por empresas brasileiras de transporte aéreo público, excluídas as empresas de táxi aéreo.","Convertida
Lei nº 10.744, de 2003"
"125, de 30.7.2003
Publicada no DOU de 31.7.2003 (Ed. extra)
Exposição de Motivos
Prorrogação","Institui no Brasil o Sistema de Certificação do Processo de Kimberley - SCPK, relativo à exportação e à importação de diamantes brutos, e dá outras providências.","Convertida
Lei nº 10.743, de 2003"
"124, de 11.7.2003
Publicada no DOU de 14.7.2005
Exposição de Motivos","Dispõe sobre o Quadro de Pessoal da Agência Nacional de Águas - ANA, e dá outras providências.","Revogada
Lei nº 10.752, de 2003"
"123, de 26.6.2003
Publicada no DOU de 27.6.2003
Exposição de Motivos
Prorrogação","Define normas de regulação para o setor farmacêutico, cria a Câmara de Regulação do Mercado de Medicamentos - CMED, altera a Lei nº 6.360, de 23 de setembro de 1976, e dá outras providências.","Convertida
Lei nº 10.742, de 2003"
"122, de 25.6.2003
Publicada no DOU de 26.6.2003
Exposição de Motivos","Dispõe sobre o direcionamento de depósitos à vista captados pelas instituições financeiras para operações de crédito destinadas à população de baixa renda e a microempreendedores, autoriza o Poder Executivo a instituir o Programa de Incentivo à Implementação de Projetos de Interesse Social - PIPS, e dá outras providências.","Convertida
Lei nº 10.735, de 2003"
"121, de 25.6.2003
Publicada no DOU de 26.6.2003
Exposição de Motivos","Dispõe sobre a criação de subsidiárias integrais do Banco do Brasil S.A., para atuação no segmento de microfinanças e consórcios.","Convertida
Lei nº 10.738, de 2003"
"120, de 11.6.2003
Publicada no DOU de 12.6.2003
Exposição de Motivos","Altera o art. 16 da Medida Provisória no 2.181-45, de 24 de agosto de 2001, que dispõe sobre operações financeiras entre o Tesouro Nacional e as entidades que menciona, e dá outras providências.","Convertida
Lei nº 10.712, de 2003"
"119, de 15.5.2003
Publicada no DOU de 16.5.2003
Exposição de Motivos","Abre crédito extraordinário, em favor do Ministério dos Transportes, no valor de R$ 89.128.000,00, para os fins que especifica.","Convertida
Lei nº 10.694, de 2003"
"118, de 3.4.2003
Publicada no DOU de 4.4.2003
Exposição de Motivos
Prorrogação de prazo","Altera a Lei no 9.294, de 15 de julho de 1996, que dispõe sobre as restrições ao uso e à propaganda de produtos fumígeros, bebidas alcoólicas, medicamentos, terapias e defensivos agrícolas, nos termos do § 4o do art. 220 da Constituição Federal.","Convertida
Lei nº 10.702, de 2003"
"117, de 3.4.2003
Publicada no DOU de 4.4.2003
Exposição de Motivos
Prorrogação de prazo","Altera dispositivos da Lei no 10.420, de 10 de abril de 2002, que cria o Fundo Seguro-Safra e institui o benefício Seguro-Safra.","Convertida
Lei nº 10.700, de 2003"
"116, de 2.4.2003
Publicada no DOU de 3.4.2003
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre o salário mínimo a partir de 1o de abril de 2003, e dá outras providências.","Convertida
Lei nº 10.699, de 2003"
"115, de 2.4.2003
Publicada no DOU de 3.4.2003
Exposição de Motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor dos Ministérios do Meio Ambiente, da Defesa e da Integração Nacional, no valor de R$ 12.000.000,00, para os fins que especifica.","Convertida
Lei nº 10.687, de 2003"
"114, de 31.3.2003
Publicada no DOU de 1º.4.2003
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre a repactuação e o alongamento de dívidas oriundas de operações de crédito rural contratadas sob a égide do Programa Especial de Crédito para a Reforma Agrária - PROCERA, do Programa Nacional de Fortalecimento da Agricultura Familiar - PRONAF, ou de outras fontes de recursos, por agricultores familiares, mini e pequenos agricultores, suas associações e cooperativas, e dá outras providências.","Convertida
Lei nº 10.696, de 2003"
"113, de 26.3.2003
Publicada no DOU de 27.3.2003
Exposição de Motivos
Prorrogação de prazo",Estabelece normas para a comercialização da produção de soja da safra de 2003 e dá outras providências.,"Convertida
Lei nº 10.688, de 2003"
"112, de 21.3.2003
Publicada no DOU de 24.3.2003
Exposição de Motivos
Prorrogação de prazo",Cria cargos na Carreira Policial Federal e o Plano Especial de Cargos do Departamento de Polícia Federal e dá outras providências.,"Convertida
Lei nº 10.682, de 2003"
"111, de 21.3.2003
Publicada no DOU de 21.3.2003
Exposição de Motivos
Prorrogação de prazo","Cria a Secretaria Especial de Políticas de Promoção da Igualdade Racial, da Presidência da República, e dá outras providências.","Convertida
Lei nº 10.678, de 2003"
"110, de 14.3.2003
Publicada no DOU de 17.3.2003
Exposição de Motivos
Prorrogação de prazo",Cria a Carreira de Agente Penitenciário Federal no Quadro de Pessoal do Departamento de Polícia Federal e dá outras providências.,Convertida
"521, de 31.12.2010
Publicada no DOU de 31.12.2010  - Edição extra
Exposição de Motivos
Prorrogação de prazo","Altera a Lei no 6.932, de 7 de julho de 1981, que dispõe sobre as atividades do médico-residente e prorroga o prazo de pagamento da Gratificação de Representação de Gabinete e da Gratificação Temporária para os servidores ou empregados requisitados pela Advocacia-Geral da União.","Vigência encerrada
Ato do Presidente da Mesa do Congresso Nacional"
"520, de 31.12.2010
Publicada no DOU de 31.12.2010  - Edição extra
Exposição de Motivos
Prorrogação de prazo",Autoriza o Poder Executivo a criar a empresa pública denominada Empresa Brasileira de Serviços Hospitalares S.A. - EBSERH e dá outras providências.,"Vigência encerrada
Ato do Presidente da Mesa do Congresso Nacional"
"519, de 30.12.2010
Publicada no DOU de 31.12.2010
Exposição de Motivos
Prorrogação de prazo",Autoriza o Poder Executivo a doar estoques públicos de alimentos para assistência humanitária internacional.,"Convertida
Lei nº 12.429, de 2011"
"518, de 30.12.2010
Publicada no DOU de 31.12.2010
Exposição de Motivos
Prorrogação de prazo","Disciplina a formação e consulta a bancos de dados com informações de adimplemento, de pessoas naturais ou de pessoas jurídicas, para formação de histórico de crédito.","ConvertidaLei nº 12.414, de 2011"
"517, de 30.12.2010
Publicada no DOU de 31.12.2010
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre a incidência do imposto sobre a renda nas operações que especifica, altera as Leis nos 6.404, de 15 de dezembro de 1976, 9.430, de 27 de dezembro de 1996, 11.478, de 29 de maio de 2007, e 12.350, de 20 de dezembro de 2010, institui o Regime Especial de Incentivos para o Desenvolvimento de Usinas Nucleares - RENUCLEAR, dispõe sobre medidas tributárias relacionadas ao Plano Nacional de Banda Larga, altera a legislação relativa à isenção do Adicional ao Frete para Renovação da Marinha Mercante – AFRMM, dispõe sobre a extinção do Fundo Nacional de Desenvolvimento, e dá outras providências.","ConvertidaLei nº 12.431, de 2011"
"516, de 30.12.2010
Publicada no DOU de 31.12.2010
Exposição de Motivos
Prorrogação de prazo",Dispõe sobre o salário mínimo a partir de 1o de janeiro de 2011.,"Prejudicada
Decisão da Câmara dos Deputados de 2011."
"515, de 28.12.2010
Publicada no DOU de 28.12.2010 - Edição extra
Exposição de Motivos
Prorrogação de prazo","Abre crédito extraordinário em favor da Justiça do Trabalho e de diversos órgãos do Poder Executivo, no valor global de R$ 26.673.264.196,00, para os fins que especifica.","ConvertidaLei nº 12.410, de 2011"
"514, de 1º.12.2010
Publicada no DOU de 2.12.2010
Exposição de Motivos
Prorrogação de prazo","Altera a Lei no 11.977, de 7 de julho de 2009, que dispõe sobre o Programa Minha Casa, Minha Vida - PMCMV e a regularização fundiária de assentamentos localizados em áreas urbanas, as Leis nos 10.188, de 12 de fevereiro de 2001, 6.015, de 31 de dezembro de 1973, 6.766, de 19 de dezembro de 1979, e 4.591, de 16 de dezembro de 1964, e dá outras providências.","ConvertidaLei nº 12.424, de 2011"
"513, de 26.11.2010
Publicada no DOU de 26.11.2010 - Edição extra
Exposição de Motivos
Prorrogação de prazo","Autoriza o Fundo de Compensação de Variações Salariais - FCVS a assumir, na forma disciplinada em ato do Conselho Curador do Fundo de Compensação de Variações Salariais - CCFCVS, direitos e obrigações do Seguro Habitacional do Sistema Financeiro da Habitação - SH/SFH, oferecer cobertura direta a contratos de financiamento habitacional averbados na Apólice do SH/SFH, autoriza o Departamento Nacional de Infraestrutura de Transporte - DNIT a utilizar recursos federais em apoio à transferência definitiva do domínio da malha rodoviária federal para os Estados, acresce o Porto do Pólo Industrial de Manaus no item 4.2 da Relação Descritiva dos Portos Marítimos, Fluviais e Lacustres, integrante do Anexo do Plano Nacional de Viação, aprovado pela Lei no 5.917, de 10 de setembro de 1973, e dá outras providências.","ConvertidaLei nº 12.409, de 2011"
"512, de 25.11.2010
Publicada no DOU de 26.11.2010
Exposição de Motivos
Prorrogação de prazo","Altera a Lei no 9.440, de 14 de março de 1997, que estabelece incentivos fiscais para o desenvolvimento regional e da indústria automotiva.","Convertida
Lei nº 12.407, de 2011"
"511, de 5.11.2010
Publicada no DOU de 8.11.2010
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre medidas para assegurar a sustentabilidade econômico-financeira do Banco Nacional de Desenvolvimento Econômico e Social - BNDES, sobre autorização para garantia do financiamento do Trem de Alta Velocidade - TAV, no trecho entre os Municípios do Rio de Janeiro - RJ e Campinas - SP, e dá outras providências.","Convertida
Lei nº 12.404, de 2011"
"510, de 28.10.2010
Publicada no DOU de 29.10.2010 - Edição extra
Exposição de Motivos
Prorrogação de prazo","Regula o cumprimento de obrigações tributárias por consórcios que realizem negócios jurídicos em nome próprio; dá nova redação ao art. 31 da Medida Provisória no 497, de 27 de julho de 2010, que promove desoneração tributária de subvenções governamentais destinadas ao fomento das atividades de pesquisa tecnológica e desenvolvimento de inovação tecnológica nas empresas e institui o Regime Especial de Tributação para construção, ampliação, reforma ou modernização de estádios de futebol - RECOM; acresce dispositivos à Lei no 10.168, de 29 de dezembro de 2000, que institui contribuição de intervenção de domínio econômico destinada a financiar o Programa de Estímulo à Interação Universidade-Empresa para o Apoio à Inovação; e dá outras providências.","Convertida
Lei nº 12.402, de 2011"
"509, de 13.10.2010
Publicada no DOU de 14.10.2010
Exposição de Motivos
Prorrogação de prazo","Dá nova redação ao parágrafo único do art. 7o da Lei no 11.668, de 2 de maio de 2008, que dispõe sobre o exercício da atividade de franquia postal.","Convertida
Lei nº 12.400, de 2011"
"508, de 8.10.2010
Publicada no DOU de 11.10.2010
Exposição de Motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor do Ministério da Educação, no valor de R$ 968.185.382,00, para os fins que especifica.","Rejeitada
Ato Declaratório do Senado Federal"
"507, de 5.10.2010
Publicada no DOU de 6.10.2010
Exposição de Motivos
Prorrogação de prazo",Institui hipóteses específicas de sanção disciplinar para a violação de sigilo fiscal e disciplina o instrumento de mandato que confere poderes a terceiros para praticar atos perante órgão da administração pública que impliquem fornecimento de dado protegido pelo sigilo fiscal.,Vigência encerradaAto do Presidente da Mesa do Congresso Nacional
"506, de 28.9.2010
Publicada no DOU de 29.9.2010
Exposição de Motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor do Ministério do Desenvolvimento Agrário, no valor de R$ 210.000.000,00, para o fim que especifica.","Convertida
Lei nº 12.384, de 2011"
"505, de 24.9.2010
Publicada no DOU de 27.9.2010
Exposição de Motivos
Prorrogação de prazo",Constitui fonte de recursos adicional ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES.,"Convertida
Lei nº 12.397, de 2011"
"504, de 22.9.2010
Publicada no DOU de 22.9.2010 - Edição extra
Exposição de Motivos
Prorrogação de prazo","Dá nova redação ao art. 1o da Lei no 5.851, de 7 de dezembro de 1972, que autoriza o Poder Executivo a instituir empresa pública, sob a denominação de Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA).","Convertida
Lei nº 12.383, de 2011"
"503, de 22.9.2010
Publicada no DOU de 22.9.2010 - Edição extra
Exposição de Motivos
Prorrogação de prazo","Ratifica o Protocolo de Intenções firmado entre a União, o Estado do Rio de Janeiro e o Município do Rio de Janeiro, com a finalidade de constituir consórcio público, denominado Autoridade Pública Olímpica - APO.","Convertida
Lei nº 12.396, de 2011"
"502, de 20.9.2010
Publicada no DOU de 21.9.2010
Exposição de Motivos
Prorrogação de prazo","Dá nova redação às Leis nos 9.615, de 24 de março de 1998, que institui normas gerais sobre desporto, e 10.891, de 9 de julho de 2004, que institui a Bolsa-Atleta; cria os Programas Atleta Pódio e Cidade Esportiva, e dá outras providências.","Convertida
Lei nº 12.395, de 2011"
"501, de 6.9.2010
Publicada no DOU de 8.9.2010
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre a prestação de auxílio financeiro pela União aos Estados, ao Distrito Federal e aos Municípios, no exercício de 2010, com o objetivo de fomentar as exportações do País; altera as Leis no 12.087, de 11 de novembro de 2009, e nº 10.260, de 12 de julho de 2001; modifica condições para a concessão da subvenção em operações de financiamento de que trata o art. 1º da Lei nº 12.096, de 24 de novembro de 2009, que autoriza a concessão de subvenção econômica ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES, em operações de financiamento destinadas à aquisição e produção de bens de capital e à inovação tecnológica; e dá outras providências.","Convertida
Lei nº 12.385, de 2011"
"500, de 30.8.2010
Publicada no DOU de 31.8.2010
Exposição de Motivos
Prorrogação de prazo","Autoriza a União e as entidades da administração pública federal indireta a contratar, reciprocamente, ou com fundo privado do qual seja o Tesouro Nacional cotista único a aquisição, alienação, cessão e permuta de ações, a cessão de créditos decorrentes de adiantamentos efetuados para futuro aumento de capital, a cessão de alocação prioritária de ações em ofertas públicas ou a cessão do direito de preferência para a subscrição de ações em aumentos de capital; autoriza a União a se abster de adquirir ações em aumentos de capital de empresas em que possua participação acionária, e dá outras providências.","Convertida
Lei nº 12.380, de 2011"
"499, de 25.8.2010
Publicada no DOU de 26.8.2010
Exposição de Motivos
Prorrogação de prazo","Altera a Lei no 10.683, de 28 de maio de 2003, transforma Funções Comissionadas Técnicas em cargos em comissão, altera as Leis nos 8.460, de 17 de setembro de 1992, e 11.526, de 4 de outubro de 2007.","Convertida
Lei nº 12.375, de 2010"
"498, de 29.7.2010
Publicada no DOU de 29.7.2010 - Edição extra
Exposição de Motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor de diversos órgãos do Poder Executivo, no valor global de R$ 1.978.448.870,00, para os fins que especifica.","Convertida
Lei nº 12.339, de 2010"
"497, de 27.7.2010
Publicada no DOU de 28.7.2010
Exposição de Motivos
Prorrogação de prazo","Promove desoneração tributária de subvenções governamentais destinadas ao fomento das atividades de pesquisa tecnológica e desenvolvimento de inovação tecnológica nas empresas, institui o Regime Especial de Tributação para construção, ampliação, reforma ou modernização de estádios de futebol - RECOM, e dá outras providências.","Convertida
Lei nº 12.350, de 2010"
"496, de 19.7.2010
Publicada no DOU de 20.7.2010
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre o limite de endividamento de Municípios em operações de crédito destinadas ao financiamento de infraestrutura para a realização da Copa do Mundo FIFA 2014 e dos Jogos Olímpicos e Paraolímpicos de 2016, sobre imóveis oriundos da extinta Rede Ferroviária Federal S.A. - RFFSA, sobre dívidas referentes ao patrimônio imobiliário da União, sobre acordos envolvendo patrimônio imobiliário da União, transfere o domínio útil de imóveis para a Companhia Docas do Rio de Janeiro - CDRJ, e dá outras providências.","Convertida
Lei nº 12.348, de 2010"
